Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
1,81,0.14999999999991864,0.14999999999991864,0.14999999999991864,0,0,3e-05,81
2,154,3.1499999999999373,1.649999999999928,3.1499999999999373,0,0,3e-05,154
3,239,-0.8000000000000833,0.8333333333332575,3.1499999999999373,0,0,3e-05,239
4,299,-0.5000000000000506,0.4999999999999305,3.1499999999999373,0,0,3e-05,299
5,361,-0.15000000000005276,0.3699999999999338,3.1499999999999373,0,0,3e-05,361
6,424,0.29999999999994653,0.3583333333332693,3.1499999999999373,0,0,3e-05,424
7,504,1.349999999999926,0.49999999999993455,3.1499999999999373,0,0,3e-05,504
8,576,2.699999999999938,0.774999999999935,3.1499999999999373,0,0,3e-05,576
9,650,3.59999999999994,1.0888888888888244,3.59999999999994,0,0,3e-05,650
10,722,2.699999999999938,1.2499999999999356,3.59999999999994,0,0,3e-05,722
11,790,1.4499999999999416,1.2681818181817546,3.59999999999994,0,0,3e-05,790
12,874,0.9499999999999202,1.2416666666666016,3.59999999999994,0,0,3e-05,874
13,958,2.6000000000001524,1.346153846153798,3.59999999999994,0,0,3e-05,958
14,1034,5.050000000000175,1.6107142857142536,5.050000000000175,0,0,3e-05,1034
15,1104,2.3499999999999437,1.6599999999999662,5.050000000000175,0,0,3e-05,1104
16,1170,1.0999999999999472,1.624999999999965,5.050000000000175,0,0,3e-05,1170
17,1242,2.699999999999938,1.6882352941176104,5.050000000000175,0,0,3e-05,1242
18,1317,3.499999999999935,1.7888888888888508,5.050000000000175,0,0,3e-05,1317
19,1394,4.400000000000172,1.926315789473657,5.050000000000175,0,0,3e-05,1394
20,1469,3.500000000000134,2.004999999999981,5.050000000000175,0,0,3e-05,1469
21,1537,1.4499999999999442,1.9785714285714078,5.050000000000175,0,0,3e-05,1537
22,1611,3.59999999999994,2.0522727272727046,5.050000000000175,0,0,3e-05,1611
23,1693,5.750000000000174,2.2130434782608557,5.750000000000174,0,0,3e-05,1693
24,1761,1.4499999999999416,2.181249999999984,5.750000000000174,0,0,3e-05,1761
25,1824,0.29999999999994653,2.1059999999999826,5.750000000000174,0,0,3e-05,1824
26,1889,0.6499999999999426,2.049999999999981,5.750000000000174,0,0,3e-05,1889
27,1964,1.8499999999999366,2.042592592592572,5.750000000000174,0,0,3e-05,1964
28,2026,-0.1500000000000492,1.9642857142856927,5.750000000000174,0,0,3e-05,2026
29,2131,17.55000000000025,2.501724137931022,17.55000000000025,0,0,3e-05,2131
30,2226,1.4999999999999103,2.4683333333333186,17.55000000000025,0,0,3e-05,2226
31,2303,3.8499999999999366,2.5129032258064354,17.55000000000025,0,0,3e-05,2303
32,2368,0.649999999999948,2.4546874999999826,17.55000000000025,0,0,3e-05,2368
33,2433,0.6499999999999444,2.3999999999999817,17.55000000000025,0,0,3e-05,2433
34,2489,-1.2000000000000464,2.2941176470588043,17.55000000000025,0,0,3e-05,2489
35,2564,3.49999999999996,2.3285714285714088,17.55000000000025,0,0,3e-05,2564
36,2637,2.59999999999994,2.33611111111109,17.55000000000025,0,0,3e-05,2637
37,2715,3.7500000000001696,2.3743243243243084,17.55000000000025,0,0,3e-05,2715
38,2790,4.59999999999994,2.4328947368420883,17.55000000000025,0,0,3e-05,2790
39,2852,-0.1500000000000572,2.3666666666666485,17.55000000000025,0,0,3e-05,2852
40,2927,3.500000000000152,2.3949999999999863,17.55000000000025,0,0,3e-05,2927
41,3000,3.1499999999999373,2.413414634146326,17.55000000000025,0,0,3e-05,3000
42,3118,4.700000000000314,2.4678571428571354,17.55000000000025,0,0,3e-05,3118
43,3187,1.8999999999999408,2.454651162790689,17.55000000000025,0,0,3e-05,3187
44,3261,3.59999999999994,2.480681818181808,17.55000000000025,0,0,3e-05,3261
45,3340,3.6500000000001718,2.506666666666661,17.55000000000025,0,0,3e-05,3340
46,3405,0.6499999999999444,2.4663043478260804,17.55000000000025,0,0,3e-05,3405
47,3475,2.349999999999941,2.4638297872340345,17.55000000000025,0,0,3e-05,3475
